Mapping of Comorbidities Included in the PDPM SLP Component to ICD-10-CM Codes,,,
Overview,,,
No data,,,
Sort Order,Comorbidity Description,ICD-10-CM Code,ICD-10-CM Code Description
77,Speech and Language Deficits ,I69.123 ,Fluency disorder following nontraumatic intracerebral hemorrhage 
78,Speech and Language Deficits ,I69.128 ,Other speech and language deficits following nontraumatic intracerebral hemorrhage 
79,Speech and Language Deficits ,I69.220 ,Aphasia following other nontraumatic intracranial hemorrhage 
80,Speech and Language Deficits ,I69.221 ,Dysphasia following other nontraumatic intracranial hemorrhage 
81,Speech and Language Deficits ,I69.222 ,Dysarthria following other nontraumatic intracranial hemorrhage 
82,Speech and Language Deficits ,I69.223 ,Fluency disorder following other nontraumatic intracranial hemorrhage 
83,Speech and Language Deficits ,I69.228 ,Other speech and language deficits following other nontraumatic intracranial hemorrhage 
84,Speech and Language Deficits ,I69.320 ,Aphasia following cerebral infarction 
85,Speech and Language Deficits ,I69.321 ,Dysphasia following cerebral infarction 
86,Speech and Language Deficits ,I69.322 ,Dysarthria following cerebral infarction 
87,Speech and Language Deficits ,I69.323 ,Fluency disorder following cerebral infarction 
88,Speech and Language Deficits ,I69.328 ,Other speech and language deficits following cerebral infarction 
89,Speech and Language Deficits ,I69.820 ,Aphasia following other cerebrovascular disease 
90,Speech and Language Deficits ,I69.821 ,Dysphasia following other cerebrovascular disease 
91,Speech and Language Deficits ,I69.822 ,Dysarthria following other cerebrovascular disease 
92,Speech and Language Deficits ,I69.823 ,Fluency disorder following other cerebrovascular disease 
93,Speech and Language Deficits ,I69.828 ,Other speech and language deficits following other cerebrovascular disease 
94,Speech and Language Deficits ,I69.920 ,Aphasia following unspecified cerebrovascular disease 
95,Speech and Language Deficits ,I69.921 ,Dysphasia following unspecified cerebrovascular disease 
96,Speech and Language Deficits ,I69.922 ,Dysarthria following unspecified cerebrovascular disease 
97,Speech and Language Deficits ,I69.923 ,Fluency disorder following unspecified cerebrovascular disease 
98,Speech and Language Deficits ,I69.928 ,Other speech and language deficits following unspecified cerebrovascular disease 
End of worksheet,,,
