Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
559,Immune Disorders ,RxCC97 ,D82.1 ,Di George's syndrome 
560,Immune Disorders ,RxCC97 ,D82.2 ,Immunodeficiency with short-limbed stature 
561,Immune Disorders ,RxCC97 ,D82.3 ,Immunodeficiency following hereditary defective response to Epstein-Barr virus 
562,Immune Disorders ,RxCC97 ,D82.4 ,Hyperimmunoglobulin E [IgE] syndrome 
563,Immune Disorders ,RxCC97 ,D82.8 ,Immunodeficiency associated with other specified major defects 
564,Immune Disorders ,RxCC97 ,D82.9 ,"Immunodeficiency associated with major defect, unspecified "
565,Immune Disorders ,RxCC97 ,D83.0 ,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function 
566,Immune Disorders ,RxCC97 ,D83.1 ,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders 
567,Immune Disorders ,RxCC97 ,D83.2 ,Common variable immunodeficiency with autoantibodies to B- or T-cells 
568,Immune Disorders ,RxCC97 ,D83.8 ,Other common variable immunodeficiencies 
569,Immune Disorders ,RxCC97 ,D83.9 ,"Common variable immunodeficiency, unspecified "
570,Immune Disorders ,RxCC97 ,D84.0 ,Lymphocyte function antigen-1 [LFA-1] defect 
571,Immune Disorders ,RxCC97 ,D84.81 ,Immunodeficiency due to conditions classified elsewhere 
572,Immune Disorders ,RxCC97 ,D84.821 ,Immunodeficiency due to drugs 
573,Immune Disorders ,RxCC97 ,D84.822 ,Immunodeficiency due to external causes 
574,Immune Disorders ,RxCC97 ,D84.89 ,Other immunodeficiencies 
575,Immune Disorders ,RxCC97 ,D84.9 ,"Immunodeficiency, unspecified "
576,Immune Disorders ,RxCC97 ,D89.3 ,Immune reconstitution syndrome 
577,Immune Disorders ,RxCC97 ,D89.40 ,"Mast cell activation, unspecified "
578,Immune Disorders ,RxCC97 ,D89.41 ,Monoclonal mast cell activation syndrome 
579,Immune Disorders ,RxCC97 ,D89.42 ,Idiopathic mast cell activation syndrome 
580,Immune Disorders ,RxCC97 ,D89.43 ,Secondary mast cell activation 
581,Immune Disorders ,RxCC97 ,D89.44 ,Hereditary alpha tryptasemia 
582,Immune Disorders ,RxCC97 ,D89.49 ,Other mast cell activation disorder 
583,Immune Disorders ,RxCC97 ,D89.82 ,Autoimmune lymphoproliferative syndrome [ALPS] 
584,Immune Disorders ,RxCC97 ,D89.84 ,IgG4-related disease 
585,Immune Disorders ,RxCC97 ,D89.89 ,"Other specified disorders involving the immune mechanism, not elsewhere classified "
586,Immune Disorders ,RxCC97 ,D89.9 ,"Disorder involving the immune mechanism, unspecified "
587,End-Stage Liver Disease ,CC27 ,I85.00 ,Esophageal varices without bleeding 
588,End-Stage Liver Disease ,CC27 ,I85.01 ,Esophageal varices with bleeding 
589,End-Stage Liver Disease ,CC27 ,I85.10 ,Secondary esophageal varices without bleeding 
590,End-Stage Liver Disease ,CC27 ,I85.11 ,Secondary esophageal varices with bleeding 
591,End-Stage Liver Disease ,CC27 ,K70.41 ,Alcoholic hepatic failure with coma 
592,End-Stage Liver Disease ,CC27 ,K71.11 ,"Toxic liver disease with hepatic necrosis, with coma "
593,End-Stage Liver Disease ,CC27 ,K72.01 ,Acute and subacute hepatic failure with coma 
594,End-Stage Liver Disease ,CC27 ,K72.10 ,Chronic hepatic failure without coma 
595,End-Stage Liver Disease ,CC27 ,K72.11 ,Chronic hepatic failure with coma 
596,End-Stage Liver Disease ,CC27 ,K72.90 ,"Hepatic failure, unspecified without coma "
597,End-Stage Liver Disease ,CC27 ,K72.91 ,"Hepatic failure, unspecified with coma "
598,End-Stage Liver Disease ,CC27 ,K76.6 ,Portal hypertension 
599,End-Stage Liver Disease ,CC27 ,K76.7 ,Hepatorenal syndrome 
600,End-Stage Liver Disease ,CC27 ,K76.81 ,Hepatopulmonary syndrome 
601,End-Stage Liver Disease ,CC27 ,K76.82 ,Hepatic encephalopathy 
602,Narcolepsy and Cataplexy ,RxCC355 ,G47.411 ,Narcolepsy with cataplexy 
603,Narcolepsy and Cataplexy ,RxCC355 ,G47.419 ,Narcolepsy without cataplexy 
604,Narcolepsy and Cataplexy ,RxCC355 ,G47.421 ,Narcolepsy in conditions classified elsewhere with cataplexy 
605,Narcolepsy and Cataplexy ,RxCC355 ,G47.429 ,Narcolepsy in conditions classified elsewhere without cataplexy 
606,Cystic Fibrosis ,RxCC225 ,E84.0 ,Cystic fibrosis with pulmonary manifestations 
607,Cystic Fibrosis ,RxCC225 ,E84.11 ,Meconium ileus in cystic fibrosis 
608,Cystic Fibrosis ,RxCC225 ,E84.19 ,Cystic fibrosis with other intestinal manifestations 
609,Cystic Fibrosis ,RxCC225 ,E84.8 ,Cystic fibrosis with other manifestations 
610,Cystic Fibrosis ,RxCC225 ,E84.9 ,"Cystic fibrosis, unspecified "
611,Specified Hereditary Metabolic/Immune Disorders ,RxCC40 ,D84.1 ,Defects in the complement system 
612,Specified Hereditary Metabolic/Immune Disorders ,RxCC40 ,E88.01 ,Alpha-1-antitrypsin deficiency 
613,Morbid Obesity ,RxCC43 ,E66.01 ,Morbid (severe) obesity due to excess calories 
614,Morbid Obesity ,RxCC43 ,E66.2 ,Morbid (severe) obesity with alveolar hypoventilation 
615,Morbid Obesity ,N/A ,E66.813 ,"Obesity, class 3 "
616,Morbid Obesity ,RxCC43 ,Z68.41 ,"Body mass index [BMI] 40.0-44.9, adult "
617,Morbid Obesity ,RxCC43 ,Z68.42 ,"Body mass index [BMI] 45.0-49.9, adult "
618,Morbid Obesity ,RxCC43 ,Z68.43 ,"Body mass index [BMI] 50.0-59.9, adult "
619,Morbid Obesity ,RxCC43 ,Z68.44 ,"Body mass index [BMI] 60.0-69.9, adult "
620,Morbid Obesity ,RxCC43 ,Z68.45 ,"Body mass index [BMI] 70 or greater, adult "
621,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.50 ,"Arthropathic psoriasis, unspecified "
622,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.51 ,Distal interphalangeal psoriatic arthropathy 
623,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.52 ,Psoriatic arthritis mutilans 
624,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.53 ,Psoriatic spondylitis 
625,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.54 ,Psoriatic juvenile arthropathy 
626,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,L40.59 ,Other psoriatic arthropathy 
627,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.0 ,Progressive systemic sclerosis 
628,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.1 ,CR(E)ST syndrome 
629,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.2 ,Systemic sclerosis induced by drug and chemical 
630,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.81 ,Systemic sclerosis with lung involvement 
631,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.82 ,Systemic sclerosis with myopathy 
632,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.83 ,Systemic sclerosis with polyneuropathy 
633,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.89 ,Other systemic sclerosis 
634,Psoriatic Arthropathy and Systemic Sclerosis ,RxCC82 ,M34.9 ,"Systemic sclerosis, unspecified "
635,Chronic Pancreatitis ,RxCC65 ,K86.0 ,Alcohol-induced chronic pancreatitis 
636,Chronic Pancreatitis ,RxCC65 ,K86.1 ,Other chronic pancreatitis 
637,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3511 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye "
638,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3512 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye "
639,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3513 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral "
640,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3519 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye "
641,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3521 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye "
642,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3522 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye "
643,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3523 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral "
644,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3529 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye "
645,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3531 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye "
646,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3532 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye "
647,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3533 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral "
648,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3539 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye "
649,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3541 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye "
650,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3542 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye "
651,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3543 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral "
652,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3549 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye "
653,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3551 ,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye "
654,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3552 ,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye "
655,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3553 ,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral "
656,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3559 ,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye "
657,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3591 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye "
658,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3592 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye "
659,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3593 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral "
660,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E08.3599 ,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye "
661,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3511 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye "
662,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3512 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye "
663,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3513 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral "
664,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3519 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye "
665,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3521 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye "
666,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3522 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye "
667,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3523 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral "
668,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3529 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye "
669,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3531 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye "
670,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3532 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye "
671,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3533 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral "
672,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3539 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye "
673,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3541 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye "
674,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3542 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye "
675,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3543 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral "
676,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3549 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye "
677,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3551 ,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, right eye "
678,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3552 ,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye "
679,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3553 ,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral "
680,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3559 ,"Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye "
681,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3591 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye "
682,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3592 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye "
683,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3593 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral "
684,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E09.3599 ,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye "
685,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3511 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye "
686,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3512 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye "
687,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3513 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral "
688,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3519 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye "
689,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3521 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye "
690,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3522 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye "
691,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3523 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral "
692,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3529 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye "
693,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3531 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye "
694,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3532 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye "
695,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3533 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral "
696,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3539 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye "
697,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3541 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye "
698,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3542 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye "
699,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3543 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral "
700,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3549 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye "
701,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3551 ,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye "
702,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3552 ,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye "
703,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3553 ,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral "
704,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3559 ,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye "
705,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3591 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye "
706,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3592 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye "
707,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3593 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral "
708,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E10.3599 ,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye "
709,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3511 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye "
710,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3512 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye "
711,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3513 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral "
712,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3519 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye "
713,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3521 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye "
714,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3522 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye "
715,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3523 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral "
716,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3529 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye "
717,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3531 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye "
718,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3532 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye "
719,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3533 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral "
720,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3539 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye "
721,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3541 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye "
722,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3542 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye "
723,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3543 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral "
724,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3549 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye "
725,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3551 ,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye "
726,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3552 ,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye "
727,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3553 ,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral "
728,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3559 ,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye "
729,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3591 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye "
730,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3592 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye "
731,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3593 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral "
732,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E11.3599 ,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye "
733,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3511 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye "
734,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3512 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye "
735,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3513 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral "
736,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3519 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye "
737,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3521 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye "
738,Proliferative Diabetic Retinopathy and Vitreous Hemorrhage ,CC122 ,E13.3522 ,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye "
