Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
49,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.42 ,Liver transplant failure 
50,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.43 ,Liver transplant infection 
51,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.49 ,Other complications of liver transplant 
52,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.5 ,Complications of stem cell transplant 
53,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.850 ,Intestine transplant rejection 
54,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.851 ,Intestine transplant failure 
55,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.852 ,Intestine transplant infection 
56,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.858 ,Other complications of intestine transplant 
57,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,T86.859 ,Unspecified complication of intestine transplant 
58,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z48.21 ,Encounter for aftercare following heart transplant 
59,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z48.23 ,Encounter for aftercare following liver transplant 
60,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z48.280 ,Encounter for aftercare following heart-lung transplant 
61,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z48.290 ,Encounter for aftercare following bone marrow transplant 
62,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.1 ,Heart transplant status 
63,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.3 ,Heart and lungs transplant status 
64,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.4 ,Liver transplant status 
65,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.81 ,Bone marrow transplant status 
66,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.82 ,Intestine transplant status 
67,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.84 ,Stem cells transplant status 
68,"Major Organ Transplant Status, Except Lung ",RxCC260 RxCC396 RxCC397 ,Z94.83 ,Pancreas transplant status 
69,Opportunistic Infections ,RxCC5 ,A07.2 ,Cryptosporidiosis 
70,Opportunistic Infections ,RxCC5 ,A31.0 ,Pulmonary mycobacterial infection 
71,Opportunistic Infections ,RxCC5 ,A31.2 ,Disseminated mycobacterium avium-intracellulare complex (DMAC) 
72,Opportunistic Infections ,RxCC5 ,B25.0 ,Cytomegaloviral pneumonitis 
73,Opportunistic Infections ,RxCC5 ,B25.1 ,Cytomegaloviral hepatitis 
74,Opportunistic Infections ,RxCC5 ,B25.2 ,Cytomegaloviral pancreatitis 
75,Opportunistic Infections ,RxCC5 ,B25.8 ,Other cytomegaloviral diseases 
76,Opportunistic Infections ,RxCC5 ,B25.9 ,"Cytomegaloviral disease, unspecified "
77,Opportunistic Infections ,RxCC5 ,B37.1 ,Pulmonary candidiasis 
78,Opportunistic Infections ,RxCC5 ,B37.7 ,Candidal sepsis 
79,Opportunistic Infections ,RxCC5 ,B37.81 ,Candidal esophagitis 
80,Opportunistic Infections ,RxCC5 ,B44.0 ,Invasive pulmonary aspergillosis 
81,Opportunistic Infections ,RxCC5 ,B44.1 ,Other pulmonary aspergillosis 
82,Opportunistic Infections ,RxCC5 ,B44.2 ,Tonsillar aspergillosis 
83,Opportunistic Infections ,RxCC5 ,B44.7 ,Disseminated aspergillosis 
84,Opportunistic Infections ,RxCC5 ,B44.89 ,Other forms of aspergillosis 
85,Opportunistic Infections ,RxCC5 ,B44.9 ,"Aspergillosis, unspecified "
86,Opportunistic Infections ,RxCC5 ,B45.0 ,Pulmonary cryptococcosis 
87,Opportunistic Infections ,RxCC5 ,B45.1 ,Cerebral cryptococcosis 
88,Opportunistic Infections ,RxCC5 ,B45.2 ,Cutaneous cryptococcosis 
89,Opportunistic Infections ,RxCC5 ,B45.3 ,Osseous cryptococcosis 
90,Opportunistic Infections ,RxCC5 ,B45.7 ,Disseminated cryptococcosis 
91,Opportunistic Infections ,RxCC5 ,B45.8 ,Other forms of cryptococcosis 
92,Opportunistic Infections ,RxCC5 ,B45.9 ,"Cryptococcosis, unspecified "
93,Opportunistic Infections ,RxCC5 ,B46.0 ,Pulmonary mucormycosis 
94,Opportunistic Infections ,RxCC5 ,B46.1 ,Rhinocerebral mucormycosis 
95,Opportunistic Infections ,RxCC5 ,B46.2 ,Gastrointestinal mucormycosis 
96,Opportunistic Infections ,RxCC5 ,B46.3 ,Cutaneous mucormycosis 
97,Opportunistic Infections ,RxCC5 ,B46.4 ,Disseminated mucormycosis 
98,Opportunistic Infections ,RxCC5 ,B46.5 ,"Mucormycosis, unspecified "
99,Opportunistic Infections ,RxCC5 ,B46.8 ,Other zygomycoses 
